order_id,sku_name,sku_id,quantity,sku_mrp,dist_id,amount,order_date,dist_region,sku_category,order_year,order_month,dist_city,dist_state,dist_size_category
5578,Propanol 3L Drum ,PROP/3L/D,51,1200,TN2347,61200,3/19/2020,South,Propanol,2020,March,Chennai,Tamil Nadu,large
7930,Ethanol 1L Can,ETH/1L/C,159,200,MH2345,31800,10/3/2024,West,Ethanol,2024,October,Mumbai,Maharashtra,small 
4035,Ethanol 1L Bottle,ETH/1L/B,23,100,KA2349,2300,4/28/2023,South,Ethanol,2023,April,Bangalore,Karnataka,large
7234,Ethanol 1L Can,ETH/1L/C,52,200,TN2347,10400,10/7/2022,South,Ethanol,2022,October,Chennai,Tamil Nadu,large
4153,Propanol 1L Can,PROP/1L/C,107,1300,TN2347,139100,3/15/2022,South,Propanol,2022,March,Chennai,Tamil Nadu,large
4908,Ethanol 1L Can,ETH/1L/C,114,200,WB2346,22800,3/28/2023,East,Ethanol,2023,March,Kolkata,West Bengal,large
7808,Propanol 1L Bottle,PROP/1L/B,45,3426,RJ4367,154170,6/9/2021,North,Propanol,2021,June,Jaipur,Rajasthan,small 
7603,Ethanol 1L Bottle,ETH/1L/B,177,100,TN2347,17700,8/22/2020,South,Ethanol,2020,August,Chennai,Tamil Nadu,large
5246,Ethanol 1L Bottle,ETH/1L/B,20,100,AS9648,2000,6/15/2020,East,Ethanol,2020,June,Jorhat ,Assam,small 
7001,Propanol 1L Can,PROP/1L/C,101,1300,WB2346,131300,12/11/2024,East,Propanol,2024,December,Kolkata,West Bengal,large
6181,Ethanol 1L Can,ETH/1L/C,166,200,TL2348,33200,12/16/2022,South,Ethanol,2022,December,Hyderabad,Telangana,small 
5274,Propanol 1L Bottle,PROP/1L/B,115,3426,MA2350,393990,3/13/2020,West,Propanol,2020,March,Pune,Maharashtra,small 
4079,Propanol 3L Drum ,PROP/3L/D,92,1200,AS9648,110400,9/1/2022,East,Propanol,2022,September,Jorhat ,Assam,small 
7006,Propanol 1L Can,PROP/1L/C,136,1300,KA2349,176800,10/7/2021,South,Propanol,2021,October,Bangalore,Karnataka,large
5874,Propanol 3L Drum ,PROP/3L/D,190,1200,KA2349,228000,4/30/2023,South,Propanol,2023,April,Bangalore,Karnataka,large
6608,Ethanol 1L Can,ETH/1L/C,195,200,MA2350,39000,12/27/2022,West,Ethanol,2022,December,Pune,Maharashtra,small 
5420,Propanol 3L Drum ,PROP/3L/D,125,1200,KA2349,150000,9/12/2021,South,Propanol,2021,September,Bangalore,Karnataka,large
7617,Propanol 1L Can,PROP/1L/C,75,1300,AS9648,97500,6/29/2022,East,Propanol,2022,June,Jorhat ,Assam,small 
4780,Ethanol 1L Can,ETH/1L/C,104,200,TN2347,20800,1/12/2023,South,Ethanol,2023,January,Chennai,Tamil Nadu,large
7868,Propanol 1L Bottle,PROP/1L/B,61,3426,RJ4367,208986,12/9/2020,North,Propanol,2020,December,Jaipur,Rajasthan,small 
5427,Propanol 1L Can,PROP/1L/C,109,1300,WB2346,141700,10/24/2022,East,Propanol,2022,October,Kolkata,West Bengal,large
7324,Butanol 2L Bottle,BUT/2L/B,54,657,WB2346,35478,11/14/2024,East,Butanol,2024,November,Kolkata,West Bengal,large
6720,Butanol 2L Bottle,BUT/2L/B,188,657,MH2345,123516,1/8/2024,West,Butanol,2024,January,Mumbai,Maharashtra,small 
4883,Ethanol 1L Bottle,ETH/1L/B,53,100,TL2348,5300,2/25/2020,South,Ethanol,2020,February,Hyderabad,Telangana,small 
5007,Propanol 1L Can,PROP/1L/C,36,1300,MA2350,46800,4/12/2024,West,Propanol,2024,April,Pune,Maharashtra,small 
4396,Ethanol 1L Bottle,ETH/1L/B,161,100,WB2346,16100,5/31/2022,East,Ethanol,2022,May,Kolkata,West Bengal,large
6090,Butanol 2L Bottle,BUT/2L/B,30,657,WB2346,19710,10/10/2020,East,Butanol,2020,October,Kolkata,West Bengal,large
5734,Ethanol 1L Can,ETH/1L/C,163,200,RJ4367,32600,6/4/2024,North,Ethanol,2024,June,Jaipur,Rajasthan,small 
7388,Ethanol 1L Can,ETH/1L/C,186,200,MA2350,37200,10/31/2024,West,Ethanol,2024,October,Pune,Maharashtra,small 
6856,Ethanol 1L Bottle,ETH/1L/B,71,100,TN2347,7100,4/17/2024,South,Ethanol,2024,April,Chennai,Tamil Nadu,large
6179,Propanol 1L Can,PROP/1L/C,24,1300,PU2675,31200,11/18/2024,North,Propanol,2024,November,Bhatinda ,Punjab,large
7844,Propanol 3L Drum ,PROP/3L/D,60,1200,AS9648,72000,6/3/2022,East,Propanol,2022,June,Jorhat ,Assam,small 
7135,Propanol 1L Bottle,PROP/1L/B,190,3426,WB2346,650940,2/1/2022,East,Propanol,2022,February,Kolkata,West Bengal,large
6933,Butanol 2L Bottle,BUT/2L/B,163,657,PU2675,107091,9/20/2021,North,Butanol,2021,September,Bhatinda ,Punjab,large
4933,Ethanol 1L Bottle,ETH/1L/B,74,100,TN2347,7400,3/27/2021,South,Ethanol,2021,March,Chennai,Tamil Nadu,large
7873,Propanol 1L Bottle,PROP/1L/B,89,3426,MA2350,304914,11/13/2020,West,Propanol,2020,November,Pune,Maharashtra,small 
4151,Ethanol 1L Can,ETH/1L/C,89,200,MH2345,17800,10/18/2021,West,Ethanol,2021,October,Mumbai,Maharashtra,small 
5277,Propanol 1L Can,PROP/1L/C,109,1300,TL2348,141700,9/4/2024,South,Propanol,2024,September,Hyderabad,Telangana,small 
5986,Butanol 2L Bottle,BUT/2L/B,116,657,PU2675,76212,7/18/2021,North,Butanol,2021,July,Bhatinda ,Punjab,large
7624,Ethanol 1L Bottle,ETH/1L/B,57,100,TL2348,5700,8/24/2023,South,Ethanol,2023,August,Hyderabad,Telangana,small 
7235,Propanol 3L Drum ,PROP/3L/D,85,1200,RJ4367,102000,5/9/2021,North,Propanol,2021,May,Jaipur,Rajasthan,small 
5785,Butanol 2L Bottle,BUT/2L/B,82,657,TN2347,53874,12/14/2021,South,Butanol,2021,December,Chennai,Tamil Nadu,large
5241,Propanol 1L Can,PROP/1L/C,172,1300,WB2346,223600,10/20/2021,East,Propanol,2021,October,Kolkata,West Bengal,large
4272,Propanol 1L Bottle,PROP/1L/B,98,3426,PU2675,335748,7/21/2021,North,Propanol,2021,July,Bhatinda ,Punjab,large
5849,Propanol 1L Can,PROP/1L/C,177,1300,PU2675,230100,7/2/2022,North,Propanol,2022,July,Bhatinda ,Punjab,large
6854,Propanol 1L Can,PROP/1L/C,193,1300,TN2347,250900,5/12/2024,South,Propanol,2024,May,Chennai,Tamil Nadu,large
5829,Propanol 1L Bottle,PROP/1L/B,130,3426,RJ4367,445380,11/2/2023,North,Propanol,2023,November,Jaipur,Rajasthan,small 
5724,Ethanol 1L Bottle,ETH/1L/B,199,100,TL2348,19900,3/26/2024,South,Ethanol,2024,March,Hyderabad,Telangana,small 
6339,Ethanol 1L Bottle,ETH/1L/B,80,100,PU2675,8000,10/23/2023,North,Ethanol,2023,October,Bhatinda ,Punjab,large
